hgnc_symbol	adipose	colon	heart	hypothalamus	kidney	liver	lung	ovary	skeletalmuscle	spleen	testes
VAPA	5.928	4.636	11.101	15.429	8.083	8.44	9.143	12.323	8.76	10.428	9.509
VARS	1.397	1.687	1.566	2.014	2.178	3.19	0.704	0.643	2.875	2.383	2.058
VARS2	0.783	0.838	0.359	1.055	0.944	1.416	0.41	0.279	0.514	0.729	0.543
VASH2	0.136	0.053	0.159	0.122	0.137	0.047	0.124	0.355	0.113	0.176	0.438
VAV1	1.92	1.54	1.446	1.679	0.366	0.533	2.318	0.379	0.208	11.141	0.635
VCAN	6.606	1.377	26.538	7.537	1.889	0.6	8.745	3.964	1.725	10.709	3.218
VCAN	20.637	2.618	49.998	12.741	3.712	1.25	17.9	6.372	5.431	21.678	7.455
VCL	24.832	30.354	43.069	8.486	16.442	4.51	21.175	18.147	19.316	30.322	48.112
VDR	0.1	4.292	0.406	0.056	3.957	0.119	1.266	0.133	0.428	0.878	0.424
VEGFA	9.915	7.223	12.526	4.27	17.528	10.453	13.589	1.885	17.951	9.625	5.064
VEPH1	0	0.031	0.09	0.25	2.752	0	3.089	0.058	0	0	0.405
VGF	0	0.161	0	8.044	0.065	0	0	0.008	0.078	0	0.012
VGLL4	0.804	1.036	1.54	1.438	2.1	0.308	1.822	3.629	0.331	2.143	3.622
VIL1	0.013	9.411	0	0	3.487	0.089	0.021	0.014	0.049	0.009	0.069
VIM	856.665	71.088	401.465	113.527	81.811	26.743	258.825	1539.15	153.2	362.987	314.059
VIP	0.046	1.252	0.035	0.911	0.023	0	0.071	0.073	0.014	0.418	0
VIT	2.503	0.179	3.074	0.153	0.061	0	0.29	4.689	1.613	0.019	1.46
VKORC1L1	15.861	1.548	2.798	2.678	1.747	4.348	3.056	1.643	1.863	2.659	0.917
VMO1	0.183	0.064	0.093	0	0	0.05	0.246	0	0.055	1.17	0
VN1R5	0	0	0	0	0.138	0	0	0	0.041	0.071	0.044
VNN3	0.171	0.03	0.087	0	0.043	2.364	1.203	0	0	0.978	0.073
VPREB3	0	0.133	0	0	0.127	0	0.049	0.033	0	0.873	0.135
VPS13A	2.569	2.445	7.141	5.222	8.322	2.32	4.06	2.506	10.059	7.423	8.239
VPS13C	10.389	3.855	10.436	10.842	11.436	5.026	15.781	14.21	9.743	21.084	11.955
VPS13C	9.213	3.435	9.249	9.275	10.297	4.456	14.066	12.452	8.533	19.037	10.54
VPS13C	9.125	3.402	9.161	9.19	10.199	4.414	13.932	12.334	8.452	18.856	10.44
VPS18	0.688	0.508	1.149	1.177	1.814	0.801	0.74	0.577	0.662	1.454	1.143
VPS24	9.75	5.637	11.529	9.695	9.744	2.123	7.526	6.658	9.164	8.163	6.689
VPS24	14.991	9.339	17.631	15.146	13.321	3.742	11.237	9.388	13.117	11.769	10.244
VPS26B	1.511	1.892	2.413	5.721	1.688	2.716	1.109	2.241	0.836	2.416	2.12
VPS29	6.937	2.803	6.79	7.95	5.237	5.556	2.976	3.525	4.019	4.844	2.436
VPS33A	3.23	2.005	1.633	6.23	2.664	3.813	1.682	2.532	1.555	3.473	4.778
VPS36	2.972	2.477	5.201	4.66	6.992	2.629	4.029	3.896	4.52	7.556	2.51
VPS37A	0.593	0.275	2.216	1.132	1.759	1.105	1.282	1.392	1.776	1.706	2.166
VPS37B	0.91	3.138	1.256	1.353	1.763	0.31	2.552	0.7	0.3	3.367	2.011
VPS37C	0.15	0.334	0.367	0.493	0.275	0.075	0.168	0.278	0.314	0.594	0.268
VPS41	8.694	3.575	5.13	14.412	7.88	3.808	6.828	7.687	1.671	10.033	9.239
VPS45	4.588	1.725	4.275	6.066	3.877	2.1	2.035	2.428	1.839	3.489	3.212
VRK1	2.609	1.827	2.244	4.872	1.818	0.999	2.67	4.445	1.11	7.366	9.816
VRK3	0.472	0.967	0.435	0.577	1.828	0.945	0.632	0.549	0.339	1.1	1.942
VSIG1	0.023	0.099	0.024	0.121	0.036	0	0.271	0.037	0.007	0.244	27.899
VSIG2	0	1.399	0.116	0.101	0.083	0	0.428	0.034	0.02	0.181	0.224
VSTM2A	0	0.1	0	6.01	0.014	0	0	0	0	0	0.049
VSX1	0	0	0	0	0	0	0	0	0.035	0	0
VSX2	0	0	0	0	0	0	0	0	0.022	0	0.031
VTI1B	40.417	16.441	22.48	33.079	21.759	24.685	11.034	9.022	10.158	16.141	11.488
VWA5A	2.372	1.495	0.582	3.65	1.976	0.567	1.946	0.993	0.658	1.298	1.941
VWA5B2	0.009	0.122	0.019	0.226	0.005	0	0	0.01	0.017	0	0.004
VWC2	0	0.068	0.986	0.781	0.02	0	0	2.123	0	0	0.025
VWF	9.495	2.049	12.156	2.96	0.873	0.257	13.395	4.089	3.066	10.977	4.307
WIT1	0	0.033	0.024	0	0.119	0	0	1.159	0	0.489	0.396
WARS	7.217	3.752	15.338	17.727	8.182	4.934	20.252	3.212	8.813	19.597	6.839
WARS	6.847	3.567	14.409	16.637	7.695	4.615	19.197	3.005	8.243	18.339	6.42
WARS2	0.772	0.724	0.837	0.662	1.203	0.664	0.775	1.568	0.872	0.679	0.766
WARS2	0.764	0.717	0.829	0.655	1.19	0.657	0.767	1.552	0.863	0.672	0.758
WASF1	0.693	0.226	0.515	15.501	1.568	0.356	0.478	2.643	0.152	0.735	5.717
WASF3	4.947	0.341	1.258	11.723	1.013	1.165	1.128	2.203	0.396	1.393	2.054
WAC	20.333	15.06	26.252	25.829	18.932	14.865	25.052	28.839	16.983	35.76	32.149
WASH3P	0.014	0.03	0.029	0.134	0.036	0	0.011	0.008	0	0.02	0.43
WBP1	1.513	0.949	1.136	2.472	1.973	0.974	0.849	1.303	0.878	1.548	0.956
WBP11	7.937	5.808	13.957	15.544	8.438	7.833	8.894	11.259	11.427	15.85	17.072
WBP2NL	0.032	0.067	0.089	0.164	0.16	0.018	0.183	0.382	0.183	0.274	0.427
WBP5	23.486	8.987	32.559	27.311	25.131	6.177	22.372	51.076	3.963	25.646	39.593
WBSCR26	0	0.544	0	0	0.196	0	0.119	0	0	0	0
WBSCR28	0	0	0	0	0	0	0	0	0	0	0.037
WDFY4	0.517	0.437	0.16	0.223	0.274	0.061	0.519	0.088	0.049	3.256	0.119
WDHD1	0.665	0.382	0.43	0.784	0.519	0.105	0.663	0.749	0.355	1.094	1.956
WDR1	4.019	4.221	5.539	5.622	6.639	2.767	3.672	3.782	2.246	6.491	3.346
WDR13	1.124	1.328	2.559	2.827	2.554	3.468	1.432	2.067	1.287	1.542	1.462
WDR17	0.175	0.196	0.106	3.443	0.512	0.011	0.257	0.379	0.054	0.311	0.548
WDR20	6.664	5.88	4.271	8.358	6.988	4.896	4.327	8.398	4.446	7.278	9.792
WDR20	5.242	4.984	3.599	6.523	5.824	3.354	3.627	7.031	3.837	6.101	8.147
WDR26	9.912	4.624	10.4	8.273	7.966	6.97	13.745	7.864	9.509	14.063	11.428
WDR26	9.912	4.614	10.39	8.254	7.965	6.951	13.678	7.831	9.504	14.039	11.396
BMS1P1	0	0	0	0	0	0	0	0	0	0	0
WDR3	3.893	1.937	3.919	6.089	3.448	6.646	2.229	4.951	4.767	6.471	8.268
WDR35	0.967	0.521	1.354	3.372	3.3	0.78	1.067	3.147	0.862	0.937	4.107
WDR37	0.645	0.82	1.916	3.829	1.456	0.756	0.766	1.313	1.1	2.583	1.119
WDR41	1.651	0.271	1.436	2.014	1.312	0.998	1.491	1.164	0.93	1.628	1.802
WDR46	1.911	1.926	2.154	2.309	2.181	2.349	1.733	2.179	2.654	3.536	1.553
WDR5	1.77	1.91	1.615	2.357	1.715	2.613	0.672	1.771	2.014	1.721	3.142
WDR55	1.167	1.525	1.156	1.028	1.452	1.979	0.909	0.447	0.483	1.752	0.857
WDR63	0.183	0.094	0.192	0.971	0.524	0.027	1.532	0.102	0.022	0.084	4.966
WDR64	0	0	0	0	0.017	0	0	0.048	0	0	0.6
WDR65	0.035	0.033	0	0.206	0.949	0.156	0.226	0.061	0.014	0	1.32
WDR66	0.029	0.171	0.328	1.898	1.235	0.043	2.024	0.645	0.13	0.501	4.633
WDR67	0.965	0.316	1.065	1.482	0.799	0.266	0.895	0.922	0.889	1.936	1.317
WDR72	0	0.056	0.023	0	30.793	6.241	0.174	0.105	0.006	0.021	0.513
WDR73	1.116	1.186	1.467	1.789	2.354	0.616	0.843	1.876	0.555	1.943	2
WDR74	1.048	1.562	3.03	2.857	2.66	3.767	1.054	3.137	4.184	3.551	1.871
WDR8	0.173	0.151	0.066	0.179	0.273	0.119	0.349	0.079	0.196	0.179	0.157
BMS1P4	0.993	1.168	0.495	0.58	1.258	0.785	0.576	0.892	0.76	1.283	0.896
WDR91	0.413	0.401	0.222	0.673	1.533	0.14	0.691	0.553	0.404	0.583	0.469
WDR93	0.107	0.149	0	0.126	0.139	0	0.047	0.04	0	0	0.996
WDSUB1	0.552	0.507	0.677	1.042	2.077	0.378	0.674	1.216	0.6	2.028	0.984
WEE2	0.024	0	0	0	0.091	0	0.009	0.107	0.044	0.008	0.149
WFDC10B	0	0	0	0	0	0	0.059	0	0	0	0.132
WFDC11	0.06	0	0	0	0	0	0	0.031	0.036	0.041	0.484
WFDC13	0	0	0	0	0	0	0.103	0	0	0	0.526
WFDC5	0	0	0	0	0	0	0.056	0	0	0	0
WFDC6	0	0	0	0	0	0	0	0	0	0	7.702
WFDC8	0	0.101	0.015	0.06	0.058	0	0.067	0.061	0.053	0.08	0.433
WHAMML1	1.167	0.459	0.499	0.845	1.054	0.373	0.716	0.637	0.254	0.637	0.813
WHAMML2	2.611	0.961	1.496	0.954	1.269	1.707	2.466	5.165	1.005	3.936	2.822
WHSC1	2.021	4.024	1.898	3.724	1.298	0.632	1.923	1.228	1.17	2.705	5.916
WHSC1	1.418	2.893	1.66	4.114	1.118	0.454	1.841	0.932	0.875	1.789	4.607
WIF1	0	0.077	0.037	5.057	0.065	0	8.566	0.019	0	0	0.383
WIPF2	1.761	3.477	2.139	5.582	3.671	1.357	2.878	2.799	1.276	5.083	2.929
WIPI2	3.22	2.436	3.219	5.302	3.45	3.12	2.169	2.61	1.435	4.696	4.752
WIPI2	3.182	2.4	3.177	5.242	3.395	3.069	2.164	2.581	1.417	4.639	4.716
WISP2	12.449	1.703	7.449	0.054	0.251	0.202	7.001	5.241	1.742	0.307	5.596
BNIPL	0.017	0.036	0.052	0.21	0.275	0.019	0.706	0.169	0.124	0.141	0.16
BPHL	1.183	0.494	0.959	1.174	6.513	1.305	0.367	1.036	0.675	0.724	0.952
WNT1	0	0	0	0	0	0	0	0	0	0	0.069
BPIL3	0	0	0	0	0	0	0	0	0	0	0
WNT11	1.162	0.027	0.087	0.138	0.038	0.252	0.088	0.04	0.104	0.237	0.163
WNT2B	0.223	1.115	0.249	0.629	0.165	0.115	0.389	3.97	0.153	0.021	2.091
WNT3	0.074	0	0	0.532	0.136	0.244	0	0.051	0	0.051	0.262
WNT5B	0.185	0.4	0.171	0.278	0.042	0.148	0.116	0.22	0.031	0.186	0.237
WNT5B	0.182	0.393	0.151	0.273	0.042	0.146	0.114	0.216	0.03	0.183	0.233
WNT7A	0	0	0	0	0	0	0.049	0	0	0.089	0.009
WNT9B	0.025	0	0.051	0.052	0.317	0	0	0	0	0.017	0.15
WRAP53	0.081	0.071	0.051	0.042	0.041	0	0.187	0.063	0	0.14	0.043
WRAP53	0.078	0.069	0.05	0.04	0.04	0	0.181	0.061	0	0.135	0.042
WRNIP1	1.368	1.826	2.8	3.441	2.799	2.17	2.839	1.812	1.579	2.67	2.793
WSCD2	0.127	0.405	0.08	3.09	0.26	0.026	0.085	0.087	0.067	0.082	0.162
WTIP	0.067	0.023	0.11	0.034	0.084	0	0.038	0.157	0.03	0.092	0.157
WWC1	0.208	0.708	0.302	3.406	11.742	1.887	3.069	0.257	0.089	0.178	0.355
WWC3	1.109	1.502	6.037	1.908	2.123	0.76	5.492	4.59	1.113	3.655	3.326
WWOX	0.135	0	0.068	0.139	0.238	0	0.052	0	0	0	0.374
XAGE1A	0	0	0	0	0	0	0	0	0	0	0
BRUNOL4	0.037	0.548	0.052	12.357	0.122	0.051	0.172	0.063	0.045	0.039	0.155
BRUNOL4	0.036	0.533	0.051	12.01	0.119	0.05	0.167	0.062	0.044	0.038	0.151
BRUNOL6	0.259	0.537	0.088	2.251	0.796	0.024	0.457	0.322	0.052	0.246	1.167
BTD	2.241	0.486	0.298	0.807	1.356	2.472	0.52	1.023	0.334	0.627	0.843
XAGE3	0	0	0	0	0	0	0	0	0	0	0.061
XBP1	12.322	33.555	20.876	14.404	18.014	106.206	39.202	13.751	8.144	48.722	8.864
XCL1	0	0	0.031	0	0	0	0.116	0.031	0	0.478	0
XCR1	0	0	0	0	0.027	0	0.082	0.056	0.194	0.758	0.08
XDH	0	0.873	0.036	0.027	0.036	3.6	0.01	0.034	0.047	0.093	0.082
XG	1.041	0.009	0.134	0	0	0.138	0.058	0.039	0.509	0.009	0.064
BZW1L1	0.399	0.103	0.622	0.213	0.656	1.043	0.409	0.301	0.268	0.633	0.688
XIRP1	0.017	0.04	51.588	0.012	0	0	0.022	0	10.59	0.024	0.085
XKR5	0.008	0.022	0	0	0.016	0.009	0.042	0.093	0.005	0.021	0.026
XKR7	0	0	0	0.13	0.025	0	0	0	0	0	0.049
XKR9	0.081	0.178	0.047	0.513	0.345	0	0.214	0.145	0.077	0.168	1.378
XPNPEP1	1.131	1.855	1.36	1.643	1.683	1.33	0.721	1.121	0.64	2.018	1.348
XPNPEP1	1.099	1.803	1.322	1.597	1.643	1.292	0.701	1.09	0.622	1.96	1.309
XPO7	4.712	3.612	5.727	9.272	7.755	3.949	4.217	5.978	4.239	6.663	7.301
XPO7	4.686	3.592	5.699	9.221	7.716	3.927	4.193	5.949	4.275	6.626	7.261
XPOT	10.892	3.305	9.733	15.285	8.127	17.266	9.02	6.444	5.607	13.259	11.619
XPR1	1.659	1.106	7.7	4.141	4.155	1.391	2.416	2.049	1.294	2.892	6.676
XPR1	1.634	1.09	7.629	4.086	4.158	1.378	2.401	2.024	1.28	2.852	6.691
XRCC4	0.913	0.686	2.849	1.792	2.136	1.179	1.319	0.524	0.297	2.572	4.042
XRCC5	10.551	8.514	14.085	14.944	14.944	18.756	12.392	14.527	10.165	19.89	15.193
XYLB	0.917	1.166	0.258	0.401	7.093	5.478	0.36	1.779	0.32	0.703	1.311
YAF2	0.502	0.17	1.712	1.814	0.616	0.841	0.455	0.399	1.613	1.222	0.705
YARS	5.537	4.183	7.889	20.337	4.61	18.443	8.046	4.278	6.043	8.204	9.484
YEATS2	1.885	2.81	3.467	5.533	2.522	0.834	4.111	5.573	1.791	5.254	4.994
YES1	10.44	3.705	12.494	7.457	19.15	24.273	17.001	13.283	5.535	35.27	24.254
YIF1B	0.226	0.464	0.586	0.698	0.509	1.42	0.847	0.451	0.434	0.761	0.425
YIPF2	0.83	1.214	0.459	0.806	0.875	1.374	0.601	0.715	0.473	0.54	0.803
YIPF3	3.056	2.439	2.393	3.691	4.151	4.287	2.496	1.376	1.463	3.129	3.723
YPEL4	0.576	1.03	0.195	7.547	0.075	0	0.541	1.941	0.168	0.457	0.346
ZZZ3	5.929	3.272	6.391	7.914	9.032	7.282	5.07	12.164	6.713	8.488	8.782
YPEL5	29.487	13.035	41.02	57.341	38.225	23.959	46.274	45.366	25.469	57.4	62.89
YPEL5	26.937	12.012	37.422	52.121	34.841	21.794	42.344	41.643	23.213	52.498	58.047
YSK4	0.086	0.045	0	0.288	0.065	0	0.231	0.022	0.078	0.178	0.183
YTHDC1	12.328	7.312	12.103	17.778	13.533	5.576	15.444	26.152	13.42	19.091	18.593
YWHAG	63.552	10.781	49.652	143.388	19.798	22.014	19.463	17.741	62.839	30.633	20.047
YWHAZ	43.239	23.632	42.229	121.955	33.966	18.021	45.135	40.624	15.799	71.632	41.711
YWHAZ	42.578	23.279	41.584	120.129	33.447	17.746	44.455	40.003	15.557	70.571	41.073
YY2	0.263	0.138	0.383	0.135	0.265	0.181	0.227	1.271	0.517	0.59	2.298
ZBED5	3.621	1.512	8.484	7.113	7.699	1.524	4.498	10.428	6.522	10.499	6.89
ZBTB2	0.773	0.875	1.861	1.08	1.003	0.67	1.821	2.347	1.412	3.119	1.941
ZBTB20	3.243	1.554	3.672	2.854	5.229	2.898	1.936	8.11	3.272	2.511	3.582
ZBTB24	0.991	0.786	0.716	1.252	1.318	0.876	1.019	1.136	0.826	2.35	1.37
ZBTB3	0.049	0.26	0.151	0.14	0.075	0.082	0.048	0.2	0.135	0.154	0.216
C10orf114	0.295	0.052	0.469	0.686	1.864	0.346	0.241	0.773	0.078	0.14	0.859
ZBTB34	1.578	1.054	1.559	1.599	1.339	0.494	1.747	3.039	1.155	3.405	1.658
ZBTB37	3.484	1.933	1.456	2.821	4.033	1.597	2.495	3.702	0.584	4.541	4.602
ZBTB38	3.224	1.923	8.438	5.631	5.989	2.609	6	7.434	7.438	5.046	7.241
ZBTB4	5.346	3.055	5.145	7.137	4.055	0.635	5.041	5.82	3.059	5.23	3.922
ZBTB4	5.278	3.012	5.079	7.059	4.003	0.627	4.977	5.746	3.028	5.163	3.872
ZBTB44	1.907	0.914	3.082	2.811	5.221	1.592	3.254	6.099	6.271	5.411	4.881
ZBTB45	0.125	0.241	0.206	0.419	0.189	0.086	0.144	0.18	0.199	0.194	0.127
ZBTB5	0.522	0.813	1.131	0.815	2.474	0.741	1.404	2.228	0.713	2.066	2.696
ZBTB8B	0	0.026	0	0.726	0.06	0.04	0.049	0.282	0.011	0.019	0.16
ZBTB8OS	2.054	1.187	2.451	2.491	2.36	3.966	1.817	0.86	0.435	2.095	1.119
ZC3H10	0.97	0.643	1.011	1.09	1.407	0.783	0.706	1.821	1.961	2.311	1.9
ZC3H18	2.543	3.734	2.962	4.118	2.692	2.088	2.858	2.784	2.722	6.107	4.028
ZC3H6	2.358	1.021	3.134	4.292	2.912	0.716	3.38	7.046	5.893	4.806	5.696
ZC3HAV1	2.954	4.113	2.349	1.762	3.595	2.203	5.219	3.128	1.027	9.385	3.686
ZC3HAV1	3.241	3.245	3.361	2.166	6.159	3.717	5.593	6.468	1.34	11.722	5.629
ZC3HAV1L	2.032	3.212	1.595	1.405	2.993	0.254	1.257	5.951	0.317	4.346	2.04
ZCCHC11	3.188	1.946	7.216	4.531	7.794	4.004	7.71	14.528	10.268	12.471	13.47
ZCCHC16	0	0	0	0	0.05	0.027	0	0.006	0	0	0
ZCCHC18	0.06	0.059	0.049	0.274	0.037	0	0.083	0.36	0.037	0.375	0.18
ZCCHC5	0.055	0.019	0.056	0	0	0	0	0	0	0	0
ZCRB1	7.189	1.855	7.845	10.109	7.119	4.46	4.273	4.845	4.896	6.72	11.404
ZDHHC1	0.073	0.166	0.065	0.057	0.185	0	0.113	0.201	0.011	0.114	0.219
ZDHHC13	0.543	2.018	1.631	2.553	1.584	0.1	1.068	1.026	0.621	1.784	2.184
ZDHHC14	0.145	0.277	0.696	1.183	0.705	0.233	0.436	0.255	0.128	0.519	0.782
ZDHHC16	1.746	1.636	2.684	1.924	2.753	3.593	1.997	2.025	1.529	2.725	1.774
ZDHHC16	1.659	1.529	2.682	1.915	2.635	3.276	1.847	2.056	1.494	2.733	1.688
ZDHHC16	1.422	1.324	2.366	1.661	2.372	2.85	1.655	1.763	1.326	2.407	1.543
ZDHHC2	2.234	1.359	4.908	4.43	8.039	2.212	5.218	4.666	5.894	6.243	5.943
ZDHHC22	0.011	0.226	0.011	4.347	0.027	0	0.008	0.028	0.052	0.03	0.074
ZDHHC3	1.586	1.717	1.331	1.108	1.767	1.297	1.227	1.065	0.687	1.608	1.867
ZDHHC7	9.441	10.515	10.294	6.974	8.209	4.753	8.307	9.85	8.496	11.926	5.579
ZFAND5	4.562	1.696	7.161	10.209	6.623	8.168	8.264	14.436	20.703	11.637	9.706
ZFAT	0.924	0.363	0.354	0.694	1.718	0.465	0.368	0.547	0.373	0.684	0.844
ZFP1	1.24	0.61	2.177	5.831	1.974	1.922	1.709	4.739	1.826	2.773	3.501
ZFP106	20.814	4.179	104.388	14.852	9.935	5.43	13.271	13.418	90.258	17.861	15.36
ZFP112	1.195	0.739	2.018	2.436	2.49	0.198	0.843	4.217	1.297	2.115	3.08
ZFP112	1.18	0.73	1.991	2.404	2.457	0.195	0.832	4.162	1.28	2.087	3.04
C10orf79	0.007	0.038	0.035	2.592	1.248	0.023	4.154	0.602	0.017	0.019	11.397
ZFP36L2	10.58	9.317	11.59	7.213	10.091	19.79	17.659	36.74	9.677	29.706	6.985
ZFP41	0.238	0.629	0.214	0.467	0.527	0.22	0.183	0.542	0.125	0.419	0.619
ZFP91	4.695	3.628	6.9	5.316	5.846	6.523	6.659	4.456	7.541	7.496	11.077
C11orf31	4.994	5.703	7.693	11.361	5.574	7.483	5.566	3.667	3.042	8.439	2.545
ZFPL1	1.086	1.076	1.103	1.64	0.615	0.643	0.591	0.79	0.754	1.026	0.735
ZFR	12.157	6.103	13.431	20.227	12.611	5.903	10.705	18.528	13.664	18.544	23.807
ZFY	2.166	0.02	1.765	2.039	0.694	2.088	1.515	0.004	0.747	3.514	3.092
ZFYVE16	5.408	2.178	7.797	7.235	6.966	4.71	7.407	11.258	3.729	9.416	11.224
ZFYVE20	3.217	2.249	3.556	8.352	2.218	2.512	2.161	5.19	2.647	3.487	4.311
ZFYVE27	0.598	1.222	0.57	1.813	0.973	1.05	0.647	0.543	0.384	1.021	1.506
ZFYVE27	0.594	1.213	0.566	1.8	0.967	1.043	0.643	0.539	0.382	1.014	1.495
ZG16B	0	1.149	0	0	0.045	0.049	1.364	0.046	0	0.276	0.284
ZGLP1	0.037	0.104	0.028	0.038	0.122	0	0.014	0.039	0	0.064	0
ZGPAT	1.099	1.876	0.734	1.83	2.667	3.147	0.86	0.968	0.852	1.64	1.202
ZIC3	0	0.104	0.005	0.385	0.005	0	0.007	0	0.006	0	0.251
ZIC4	0	0.022	0	0.541	0	0	0	0	0.07	0	0
ZMAT1	1.266	0.445	1.276	2.148	3.825	0.357	1.541	2.326	0.777	3.406	2.756
ZMAT2	43.302	24.813	36.951	82.395	45.604	49.436	32.298	25.516	37.681	49.596	34.652
ZMAT4	0	0.012	0.125	2.544	0.041	0	0	0.095	0	0.068	0.098
ZMAT5	0.107	0.224	0.433	0	0.341	0.314	0.109	0.409	0.388	0.344	0.046
ZMYM2	6.335	4.702	7.547	11.816	8.586	5.055	9.312	10.938	4.105	11.57	19.037
ZMYM5	2.44	2.51	1.392	1.834	1.856	1.296	1.437	2.632	0.93	2.187	4.117
ZMYM5	2.098	2.153	1.313	1.636	1.774	1.265	1.295	2.374	0.946	1.94	3.803
ZMYND10	0.104	0	0	0.043	0.052	0	0.064	0.011	0	0.014	0.77
ZMYND11	11.134	4.777	18.54	22.228	15.45	7.674	11.142	16.848	12.5	14.632	14.984
ZMYND15	0.533	0.238	0.041	0.217	0.179	0.25	0.398	0.085	0	0.771	1.78
ZMYND15	0.503	0.224	0.039	0.204	0.169	0.235	0.375	0.08	0	0.727	1.678
ZMYND8	6.889	7.701	9.754	13.006	12.047	3.548	8.594	13.476	10.111	22.437	19.469
ZMYND8	6.773	7.562	9.61	12.771	11.869	3.484	8.445	13.295	9.943	22.13	19.211
ZNF133	0.979	1.076	0.959	1.178	1.002	0.525	0.596	1.857	1.202	1.344	1.573
ZNF135	0.882	0.576	0.44	1.759	1.276	0.033	0.23	4.445	0.544	1.19	1.833
ZNF135	0.898	0.69	0.385	1.619	1.246	0.084	0.208	4.383	0.57	1.287	1.789
ZNF138	2.812	0.956	3.981	8.886	5.98	1.715	2.673	8.05	5.019	8.508	5.56
ZNF142	0.49	0.769	0.513	1.12	0.617	0.205	0.482	0.574	1.104	0.789	0.606
ZNF148	3.017	1.531	4.268	5.761	4.364	3.609	3.93	7.52	3.934	6.381	5.729
ZNF157	0.087	0.334	0.055	1.677	0.525	0	0.233	0.907	0.302	0.554	0.786
ZNF16	0.276	0.203	0.501	0.569	0.513	0.16	0.268	1.291	0.853	0.492	0.731
ZNF16	0.267	0.197	0.485	0.55	0.503	0.155	0.259	1.249	0.825	0.476	0.707
C12orf5	0.911	0.413	0.671	1.05	0.676	0.655	0.402	0.114	0.573	1.195	0.627
ZNF165	0.153	0.351	0.205	0.762	1.38	0.8	0.74	0.306	0.169	0.559	3.709
ZNF17	0.946	0.903	1.518	2.023	1.551	0.378	1.086	2.698	1.362	2.57	1.722
ZNF174	1.11	0.995	1.405	2.977	1.262	1.028	0.876	1.912	1.263	2.016	2.369
ZNF18	0.955	0.967	0.687	1.013	1.019	0.791	0.572	1.285	0.707	1.276	1.621
C13orf1	0.491	0.872	1.546	3.48	1.417	1.375	0.745	1.119	2.416	0.957	1.086
ZNF187	3.517	2.335	3.594	6.016	3.79	1.31	2.74	10.538	3.107	6.054	4.941
ZNF189	7.21	3.068	12.834	15.441	11.178	4.936	5.438	15.574	5.742	18.861	18.028
ZNF189	7.092	3.011	12.481	14.996	10.885	4.757	5.256	15.161	5.536	18.357	17.533
ZNF195	3.443	2.62	6.6	8.921	8.969	2.706	3.119	7.739	7.359	11.491	6.834
ZNF2	0.427	0.384	0.396	0.757	0.652	0.143	0.343	0.875	0.675	0.931	0.663
ZNF20	1.192	1.011	1.187	1.505	2.725	0.952	1.81	3.143	0.494	2.94	4.354
ZNF200	0.737	0.471	0.919	0.873	0.69	0.646	0.759	1.395	0.453	1.919	2.459
ZNF205	0.147	0.129	0.103	0.114	0.168	0.122	0.085	0.193	0.078	0.153	0.126
ZNF205	0.143	0.125	0.1	0.11	0.162	0.118	0.082	0.187	0.076	0.148	0.122
ZNF211	1.782	1.83	3.543	3.616	2.834	0.59	2.181	3.83	1.951	6.12	2.911
ZNF211	1.754	1.802	3.488	3.56	2.79	0.581	2.148	3.771	1.921	6.025	2.865
ZNF212	1.553	3.124	1.799	2.301	3.211	1.26	1.92	4.279	2.251	4.765	5.006
ZNF219	4.34	1.453	2.009	1.193	0.765	0.763	0.807	0.842	0.606	0.998	0.876
ZNF221	3.618	1.442	3.373	6.403	3.133	0.785	2.55	10.288	2.227	4.47	5.042
ZNF225	2.151	0.951	2.546	2.789	2.817	1.498	1.851	7.169	1.107	5.365	3.336
ZNF229	0.525	0.363	1.202	1.588	1.132	0.098	0.313	2.442	0.197	0.992	1.346
ZNF23	4.818	0.842	3.2	6.305	3.36	1.589	2.189	4.556	2.492	5.559	5.05
ZNF234	2.388	1.286	2.603	2.67	2.363	0.687	1.566	5.399	2.051	4.164	2.029
ZNF235	1.289	1.112	1.104	1.734	1.395	0.368	1.718	3.072	0.809	3.885	2.551
ZNF238	1.212	1.472	1.649	15.148	1.918	2.863	1.712	1.051	6.017	3.314	4.838
ZNF239	0.694	0.351	0.675	2.366	0.584	0.021	0.133	1.23	0.91	0.959	1.226
ZNF239	0.569	0.28	0.554	1.936	0.582	0.017	0.154	1.086	0.726	0.851	1.162
C14orf119	0.815	0.643	1.267	1.027	1.227	0.514	1.621	0.9	0.611	1.887	1.778
C14orf128	0.373	0.542	2.403	1.539	1.159	0.127	0.419	0.946	0.295	2.282	1.825
C14orf133	1.144	0.736	0.912	1.043	1.034	0.866	0.573	1.461	0.669	1.389	2.261
ZNF254	3.666	1.864	9.466	11.236	15.038	5.011	11.316	35.438	5.88	14.698	11.189
ZNF256	1.828	1.257	3.779	4.029	2.458	0.422	1.495	4.929	1.791	3.93	4.016
ZNF257	0.449	0.263	0.683	0.484	0.88	0.035	0.57	4.443	0.215	2.713	2.072
ZNF260	2.228	0.472	2.534	3.349	4.062	0.948	1.735	6.455	1.328	3.885	3.248
ZNF268	1.58	0.83	1.734	2.806	3.391	1.744	1.573	5.132	1.07	4.082	4.268
ZNF271	3.5	1.095	6.69	5.433	6.68	4.142	3.187	5.639	3.148	5.886	4.529
